inv2,inv1
03909925-1,03909925-1
03986178-1,03909925-1
04183781-1,03909925-1
04222816-1,03909925-1
04891794-3,03909925-1
05225024-5,03909925-1
05373227-1,03909925-1
05378945-3,03909925-1
05419807-1,03909925-1
03910599-1,03910599-1
03908397-2,03911353-1
03911353-1,03911353-1
05039954-1,03911353-1
05298801-1,03911353-1
05633638-1,03911353-1
06188250-3,03911353-1
06426715-1,03911353-1
06583747-1,03911353-1
06583747-3,03911353-1
03912128-2,03912128-2
04075508-1,03912128-2
04626771-1,03912128-2
05585763-1,03912128-2
05625325-2,03912128-2
05748048-1,03912128-2
06194965-1,03912128-2
06513127-2,03912128-2
03912521-2,03912521-2
06952737-0,03912521-2
06952737-1,03912521-2
03861323-1,03912558-3
03912558-3,03912558-3
04019908-1,03912558-3
05138576-1,03912558-3
05317210-1,03912558-3
05369314-2,03912558-3
05483178-1,03912558-3
05898628-1,03912558-3
05949710-1,03912558-3
03860820-1,03912927-1
03912927-1,03912927-1
04100548-2,03912927-1
04423923-1,03912927-1
05119052-4,03912927-1
03912942-1,03912942-1
05132889-2,03912942-1
05717322-1,03912942-1
03913567-1,03913567-1
05457490-1,03913567-1
06088474-1,03913567-1
06088474-4,03913567-1
06088474-5,03913567-1
06088474-6,03913567-1
03914748-1,03914748-1
03914861-1,03914861-1
04546275-1,03914861-1
05381114-2,03914861-1
05528634-2,03914861-1
03915693-1,03915693-1
04529885-2,03915693-1
04769291-3,03915693-1
04859304-1,03915693-1
05486126-4,03915693-1
05537738-2,03915693-1
03915766-1,03915766-1
06482688-2,03915766-1
06566200-2,03915766-1
06682980-3,03915766-1
03916331-1,03916331-1
04091335-2,03916331-1
03916707-1,03916707-1
04769291-3,03916707-1
04859304-1,03916707-1
05302238-2,03916707-1
05314869-2,03916707-1
05656892-1,03916707-1
05676853-1,03916707-1
06054395-1,03916707-1
06137216-1,03916707-1
06143580-2,03916707-1
06143580-3,03916707-1
06344378-1,03916707-1
03917662-1,03917662-1
04764933-1,03917662-1
05101193-2,03917662-1
05264981-2,03917662-1
05529752-1,03917662-1
06631146-2,03917662-1
06658031-2,03917662-1
06798800-3,03917662-1
06829268-4,03917662-1
06829268-5,03917662-1
06974934-2,03917662-1
03918599-1,03918599-1
03919655-1,03919655-1
06436607-1,03919655-1
06556702-4,03919655-1
06912323-0,03919655-1
03919711-1,03919711-1
06112283-1,03919711-1
06460124-1,03919711-1
06490676-1,03919711-1
06647482-5,03919711-1
06907600-3,03919711-1
06907600-5,03919711-1
06907600-7,03919711-1
03920121-1,03920121-1
05264725-2,03920121-1
05578941-2,03920121-1
05614856-2,03920121-1
05614856-3,03920121-1
05625790-1,03920121-1
05627478-1,03920121-1
05663919-3,03920121-1
05677567-2,03920121-1
05787096-3,03920121-1
03921022-1,03921022-1
03921199-1,03921199-1
04805071-1,03921199-1
04805071-2,03921199-1
04994887-3,03921199-1
04994887-9,03921199-1
05068756-3,03921199-1
05082522-2,03921199-1
05119162-3,03921199-1
05229333-2,03921199-1
06236101-4,03921199-1
06259551-1,03921199-1
06284669-7,03921199-1
03921216-1,03921216-1
05768214-1,03921216-1
03892973-3,03923559-1
03923559-1,03923559-1
03999132-1,03923559-1
04479831-2,03923559-1
04581815-1,03923559-1
04594769-1,03923559-1
04613400-1,03923559-1
04627288-3,03923559-1
04714536-4,03923559-1
04717461-6,03923559-1
04744056-2,03923559-1
04842683-6,03923559-1
04872947-8,03923559-1
04882129-2,03923559-1
04933304-1,03923559-1
04937206-2,03923559-1
05003266-2,03923559-1
05064683-2,03923559-1
05072288-2,03923559-1
05083865-3,03923559-1
05085727-1,03923559-1
05108951-4,03923559-1
05129994-5,03923559-1
05171412-2,03923559-1
05201990-4,03923559-1
05260236-2,03923559-1
05292399-2,03923559-1
05308417-5,03923559-1
05326725-9,03923559-1
05332443-6,03923559-1
05332443-7,03923559-1
05356722-2,03923559-1
05401319-2,03923559-1
05403459-1,03923559-1
05423918-3,03923559-1
05454903-2,03923559-1
05466626-4,03923559-1
05467220-1,03923559-1
05540824-3,03923559-1
05540824-4,03923559-1
05558717-4,03923559-1
05558717-7,03923559-1
05604376-3,03923559-1
05614055-2,03923559-1
05622608-2,03923559-1
05632873-1,03923559-1
05644467-2,03923559-1
05650052-1,03923559-1
05658442-4,03923559-1
05685960-1,03923559-1
05705921-1,03923559-1
05709772-2,03923559-1
05761023-5,03923559-1
05780360-3,03923559-1
05812403-2,03923559-1
05812403-3,03923559-1
05827785-1,03923559-1
05837058-2,03923559-1
05846332-10,03923559-1
05846332-5,03923559-1
05846332-7,03923559-1
05856252-3,03923559-1
05916369-2,03923559-1
05951776-1,03923559-1
05983906-3,03923559-1
05983906-4,03923559-1
06037257-4,03923559-1
06042700-1,03923559-1
06099904-2,03923559-1
06143140-1,03923559-1
06170428-10,03923559-1
06182376-1,03923559-1
06218301-2,03923559-1
06221174-4,03923559-1
06254760-3,03923559-1
06258220-11,03923559-1
06258220-5,03923559-1
06274008-6,03923559-1
06296712-3,03923559-1
06300255-1,03923559-1
06551929-3,03923559-1
06551929-5,03923559-1
06593247-9,03923559-1
06815373-3,03923559-1
06838393-0,03923559-1
06875271-1,03923559-1
06890850-4,03923559-1
03924229-1,03924229-1
03955100-1,03924229-1
05903436-2,03924229-1
06667548-3,03924229-1
06760529-2,03924229-1
06928200-3,03924229-1
03924585-1,03924585-1
03924970-1,03924970-1
05264715-1,03924970-1
06528340-2,03924970-1
06606199-1,03924970-1
06674941-1,03924970-1
06850548-0,03924970-1
03925677-1,03925677-1
04428317-2,03925677-1
05472900-1,03925677-1
05536684-2,03925677-1
05714418-1,03925677-1
05739579-1,03925677-1
05888897-1,03925677-1
06029730-1,03925677-1
06101287-2,03925677-1
06130422-5,03925677-1
03928370-1,03928370-1
03975772-1,03928370-1
04595875-5,03928370-1
04871930-3,03928370-1
06034541-3,03928370-1
06183940-2,03928370-1
03930053-3,03930053-3
04872356-2,03930053-3
05501767-2,03930053-3
06076217-1,03930053-3
06100198-3,03930053-3
06100198-4,03930053-3
03930204-2,03930204-2
03930776-1,03930776-1
05533203-1,03930776-1
06094441-1,03930776-1
06094441-3,03930776-1
06459698-1,03930776-1
03931583-1,03931583-1
03931878-1,03931878-1
05425050-2,03931878-1
05933588-1,03931878-1
05933588-3,03931878-1
06061507-2,03931878-1
06091506-3,03931878-1
06185704-4,03931878-1
06563864-1,03931878-1
03932773-2,03932773-2
03933679-1,03933679-1
04067315-2,03933679-1
03933860-1,03933860-1
04370405-3,03933860-1
04379830-2,03933860-1
04379943-1,03933860-1
04622576-1,03933860-1
04635345-2,03933860-1
04953982-2,03933860-1
04954459-1,03933860-1
05201990-3,03933860-1
05256599-2,03933860-1
05260236-2,03933860-1
05268202-1,03933860-1
05292399-2,03933860-1
05308417-5,03933860-1
05376573-3,03933860-1
05442638-3,03933860-1
05468339-2,03933860-1
05504328-1,03933860-1
05582881-2,03933860-1
05587945-4,03933860-1
05662769-1,03933860-1
05736423-1,03933860-1
05763327-3,03933860-1
05766058-2,03933860-1
05821036-5,03933860-1
05888898-3,03933860-1
05895269-5,03933860-1
05986344-3,03933860-1
06000415-2,03933860-1
06022749-3,03933860-1
06060404-5,03933860-1
06070551-2,03933860-1
06153933-5,03933860-1
06159073-1,03933860-1
06159073-3,03933860-1
06261936-1,03933860-1
06297065-2,03933860-1
06299741-2,03933860-1
06313538-5,03933860-1
06391733-1,03933860-1
06506097-4,03933860-1
06713357-3,03933860-1
06939198-2,03933860-1
03934057-2,03934057-2
04581815-1,03934057-2
05674787-3,03934057-2
