Games	Sport	Event	Athlete(s)	CountryCode	CountryName	Medal	ResultInSeconds
2012	Swimming	100m Backstroke Men	Matthew GREVERS	USA	United States of America	Gold	52.16
2012	Swimming	100m Backstroke Men	Nick THOMAN	USA	United States of America	Silver	52.92
2012	Swimming	100m Backstroke Men	Ryosuke IRIE	JPN	Japan	Bronze	52.97
2012	Swimming	100m Backstroke Women	Missy FRANKLIN	USA	United States of America	Gold	58.33
2012	Swimming	100m Backstroke Women	Emily SEEBOHM	AUS	Australia	Silver	58.68
2012	Swimming	100m Backstroke Women	Aya TERAKAWA	JPN	Japan	Bronze	58.83
2012	Swimming	100m Breaststroke Men	Cameron VAN DER BURGH	RSA	South Africa	Gold	58.46
2012	Swimming	100m Breaststroke Men	Christian SPRENGER	AUS	Australia	Silver	58.93
2012	Swimming	100m Breaststroke Men	Brendan HANSEN	USA	United States of America	Bronze	59.49
2012	Swimming	100m Breaststroke Women	Ruta MEILUTYTE	LTU	Lithuania	Gold	65.47
2012	Swimming	100m Breaststroke Women	Rebecca SONI	USA	United States of America	Silver	65.55
2012	Swimming	100m Breaststroke Women	Satomi SUZUKI	JPN	Japan	Bronze	66.46
2012	Swimming	100m Butterfly Men	Michael PHELPS	USA	United States of America	Gold	51.21
2012	Swimming	100m Butterfly Men	Chad LE CLOS	RSA	South Africa	Silver	51.44
2012	Swimming	100m Butterfly Men	Evgeny KOROTYSHKIN	RUS	Russia	Bronze	51.44
2012	Swimming	100m Butterfly Women	Dana VOLLMER	USA	United States of America	Gold	55.98
2012	Swimming	100m Butterfly Women	Ying LU	CHN	China	Silver	56.87
2012	Swimming	100m Butterfly Women	Alicia COUTTS	AUS	Australia	Bronze	56.94
2012	Swimming	100m Freestyle Men	Nathan ADRIAN	USA	United States of America	Gold	47.52
2012	Swimming	100m Freestyle Men	James MAGNUSSEN	AUS	Australia	Silver	47.53
2012	Swimming	100m Freestyle Men	Brent HAYDEN	CAN	Canada	Bronze	47.80
2012	Swimming	100m Freestyle Women	Ranomi KROMOWIDJOJO	NED	Netherlands	Gold	53.00
2012	Swimming	100m Freestyle Women	Aleksandra GERASIMENYA	BLR	Belarus	Silver	53.38
2012	Swimming	100m Freestyle Women	Yi TANG	CHN	China	Bronze	53.44
2012	Swimming	10km Marathon Men	Oussama MELLOULI	TUN	Tunisia	Gold	6595.10
2012	Swimming	10km Marathon Men	Thomas LURZ	GER	Germany	Silver	6598.50
2012	Swimming	10km Marathon Men	Richard WEINBERGER	CAN	Canada	Bronze	6600.30
2012	Swimming	10km Marathon Women	Eva RISZTOV	HUN	Hungary	Gold	7058.20
2012	Swimming	10km Marathon Women	Haley ANDERSON	USA	United States of America	Silver	7058.60
2012	Swimming	10km Marathon Women	Martina GRIMALDI	ITA	Italy	Bronze	7061.80
2012	Swimming	1500m Freestyle Men	Yang SUN	CHN	China	Gold	871.02
2012	Swimming	1500m Freestyle Men	Ryan COCHRANE	CAN	Canada	Silver	879.63
2012	Swimming	1500m Freestyle Men	Oussama MELLOULI	TUN	Tunisia	Bronze	880.31
2012	Swimming	200m Backstroke Men	Tyler CLARY	USA	United States of America	Gold	113.41
2012	Swimming	200m Backstroke Men	Ryosuke IRIE	JPN	Japan	Silver	113.78
2012	Swimming	200m Backstroke Men	Ryan LOCHTE	USA	United States of America	Bronze	113.94
2012	Swimming	200m Backstroke Women	Missy FRANKLIN	USA	United States of America	Gold	124.06
2012	Swimming	200m Backstroke Women	Anastasia ZUEVA	RUS	Russia	Silver	125.92
2012	Swimming	200m Backstroke Women	Elizabeth BEISEL	USA	United States of America	Bronze	126.55
2012	Swimming	200m Breaststroke Men	Daniel GYURTA	HUN	Hungary	Gold	127.28
2012	Swimming	200m Breaststroke Men	Michael JAMIESON	GBR	Great Britain	Silver	127.43
2012	Swimming	200m Breaststroke Men	Ryo TATEISHI	JPN	Japan	Bronze	128.29
2012	Swimming	200m Breaststroke Women	Rebecca SONI	USA	United States of America	Gold	139.59
2012	Swimming	200m Breaststroke Women	Satomi SUZUKI	JPN	Japan	Silver	140.72
2012	Swimming	200m Breaststroke Women	Iuliia EFIMOVA	RUS	Russia	Bronze	140.92
2012	Swimming	200m Butterfly Men	Chad LE CLOS	RSA	South Africa	Gold	112.96
2012	Swimming	200m Butterfly Men	Michael PHELPS	USA	United States of America	Silver	113.01
2012	Swimming	200m Butterfly Men	Takeshi MATSUDA	JPN	Japan	Bronze	113.21
2012	Swimming	200m Butterfly Women	Liuyang JIAO	CHN	China	Gold	124.06
2012	Swimming	200m Butterfly Women	Mireia BELMONTE GARCIA	ESP	Spain	Silver	125.25
2012	Swimming	200m Butterfly Women	Natsumi HOSHI	JPN	Japan	Bronze	125.48
2012	Swimming	200m Freestyle Men	Yannick AGNEL	FRA	France	Gold	103.14
2012	Swimming	200m Freestyle Men	Taehwan PARK	KOR	South Korea	Silver	104.93
2012	Swimming	200m Freestyle Men	Yang SUN	CHN	China	Bronze	104.93
2012	Swimming	200m Freestyle Women	Allison SCHMITT	USA	United States of America	Gold	113.61
2012	Swimming	200m Freestyle Women	Camille MUFFAT	FRA	France	Silver	115.58
2012	Swimming	200m Freestyle Women	Bronte BARRATT	AUS	Australia	Bronze	115.81
2012	Swimming	200m Individual Medley Men	Michael PHELPS	USA	United States of America	Gold	114.27
2012	Swimming	200m Individual Medley Men	Ryan LOCHTE	USA	United States of America	Silver	114.90
2012	Swimming	200m Individual Medley Men	Laszlo CSEH	HUN	Hungary	Bronze	116.22
2012	Swimming	200m Individual Medley Women	Shiwen YE	CHN	China	Gold	127.57
2012	Swimming	200m Individual Medley Women	Alicia COUTTS	AUS	Australia	Silver	128.15
2012	Swimming	200m Individual Medley Women	Caitlin LEVERENZ	USA	United States of America	Bronze	128.95
2012	Swimming	400m Freestyle Men	Yang SUN	CHN	China	Gold	220.14
2012	Swimming	400m Freestyle Men	Taehwan PARK	KOR	South Korea	Silver	222.06
2012	Swimming	400m Freestyle Men	Peter VANDERKAAY	USA	United States of America	Bronze	224.69
2012	Swimming	400m Freestyle Women	Camille MUFFAT	FRA	France	Gold	241.45
2012	Swimming	400m Freestyle Women	Allison SCHMITT	USA	United States of America	Silver	241.77
