Athlete	CountryCode	Medals
bridgitte hartley	RSA	1
brigita bukovec	SLO	1
brimin kiprop	KEN	1
brimin kipruto	KEN	1
britta oppelt, annekatrin thiele, carina baer, julia richter	GER	1
britta oppelt, peggy waleska	GER	1
britta steffen	GER	2
britta steffen, meike freitag	GER	1
bronislaw malinowski	POL	2
bronte barratt	AUS	1
bronte barratt, alicia coutts, kylie palmer, melanie schlanger	AUS	1
brooke bennett	USA	3
brooke hanson	AUS	1
bruce furniss	USA	1
bruce robertson	CAN	1
bruno boni, felice fanetti	ITA	1
bruno junk	URS	1
bruno mascarenhas, lorenzo bertini, catello amarante, salvatore amitrano	ITA	1
bud spencer, frederick alderman, george baird, raymond barbuti	USA	1
buffy alexander, laryssa biesenthal, heather davis, alison korn, theresa luke, emma robinson, heather mcdermid, dorota urbaniak, lesley thompson	CAN	1
buster crabbe	USA	2
butch reynolds	USA	1
cafaro, francia, lofgren, ritzel, musnicki, logan, lind, davies, whipple	USA	1
caitlin leverenz	USA	1
calvin davis	USA	1
calvin smith	USA	1
camelia potec	ROM	1
cameron henning	CAN	1
cameron van der burgh	RSA	1
camille muffat	FRA	2
caren metschuck	GDR	2
caren metschuck, andrea pollack, ute geweniger, rica reinisch	GDR	1
carina ljungdahl, agneta eriksson, tina gustafsson, agneta m?tensson	SWE	1
carin cone	USA	1
carin ter beek, pieta van dishoeck, eeke van nes, anneke venema, marieke westerhof, nelleke penninx, elien meijer, martijntje quik, tessa appeldoorn	NED	1
carl kaufmann	GER	1
carl lewis	USA	4
carlo monti, michele tito, enrico perucconi, antonio siddi	ITA	1
carlos mercenario	MEX	1
carlos perez, saul craviotto	ESP	1
carlos sousa lopes	POR	2
carl robie	USA	2
carmela schmidt	GDR	2
carmelita jeter	USA	2
carola zirzow	GDR	1
carola zirzow, b?rbel k?ster	GDR	1
carolina evers-swindell, georgina evers-swindell	NZL	2
caroline brunet	CAN	3
carolin martina leonhardt, katrin wagner-augustin, tina dietze, franziska weber	GER	1
carolyn schuler	USA	1
carolyn schuler, chris von saltza, lynn burke, patty kempner	USA	1
carrie steinseifer	USA	1
carrie steinseifer, dara torres, nancy hogshead, jenna johnson	USA	1
carsta gen?u?, martina bischof	GDR	1
caster semenya	RSA	1
cate campbell	AUS	1
cate campbell, alice mills, shayne reese, melanie schlanger, lisbeth trickett	AUS	1
cate campbell, alicia coutts, melanie schlanger, brittany elmslie	AUS	1
cath bishop, katherine grainger	GBR	1
catherine carr	USA	1
catherine fox, lisa jacob, angel martino, jenny thompson, melanie valerio, amy van dyken	USA	1
catherine gibson	GBR	1
catherine ndereba	KEN	2
catherine plewinski	FRA	2
catherine poirot	FRA	1
cathleen rund	GER	1
cathy ferguson	USA	1
cathy freeman	AUS	2
cecil healy	ANZ	1
cecil healy	AUS	1
cecil healy, leslie boardman, malcolm champion, harold hardwick	ANZ	1
cerstin petersmann, dana pyritz, daniela neunast, judith zeidler, ute wagner-stange, annegret strauch, kathrin haacker, christiane harzendorf, sylvia d?rdelmann	GER	1
cesar cielofilho	BRA	2
cesar cielo filho	BRA	1
cesare milani, enrico garzelli, guglielmo del bimbo, renato bracci, mario balleri, renato barbieri, dino barsotti, vittorio cioni, roberto vestrini	KIT	1
